prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
4,0,4,133.8197771,6.1195,6.436028481,0.005,0.0556,20.5679,60.0,0.657201667,False,False,False,73.86223158,0.001221135,0.19499413709909907,0.0,19.2427,21.8931,0.0585,6.061,52,400,19.2427,21.8931,0.06278962991652302,0.4594031514642511,0.19499413709909907,6.1195
6,0,4,133.2945592,6.1193,6.437038422,0.0048,0.0548,20.5582,61.1,0.657363333,False,False,False,73.21097622,0.001225987,0.20284795705554828,0.0,19.3103,21.8061,0.0575,6.0618,48,400,19.3103,21.8061,0.06204360033845308,0.46243513602687547,0.20284795705554828,6.1193
7,0,4,133.2738941,6.1107,6.429515123,0.0049,0.0549,20.63075,62.8,0.656154167,False,False,False,72.65942156,0.001227903,0.21425562822255464,0.0,19.4288,21.8327,0.0579,6.0528,44,400,19.4288,21.8327,0.0614117804478923,0.4636324324864774,0.21425562822255464,6.1107000000000005
5,0,4,132.9074358,6.1153,6.435317516,0.005,0.0559,20.56835,62.5,0.657194167,False,False,False,72.60476631,0.001230362,0.21278162451641713,0.0,19.3803,21.7564,0.0587,6.0566,44,400,19.3803,21.7564,0.06134917146898608,0.4651690462621355,0.21278162451641713,6.1153
8,0,4,133.1700123,6.1142,6.436132669,0.005,0.055,20.76585,63.1,0.6539025,False,False,False,73.9262579,0.001228157,0.21722032369095656,0.0,19.7317,21.8,0.0578,6.0564,52,400,19.7317,21.8,0.06286297369444598,0.4637911555035644,0.21722032369095656,6.1142
9,0,4,133.8352804,6.1268,6.442805052,0.0049,0.0555,20.85655,63.0,0.652390833,False,False,False,76.38570275,0.001219539,0.21622510175162268,0.0,19.8497,21.8634,0.0583,6.0685,68,400,19.8497,21.8634,0.0656803303204733,0.45840582101042826,0.21622510175162268,6.1268
10,0,4,133.762471,6.1294,6.449149847,0.0047,0.0548,21.1115,63.3,0.648141667,False,False,False,77.0058934,0.001219685,0.2186587136115969,0.0,20.3863,21.8367,0.0575,6.0719,72,400,20.3863,21.8367,0.06639077448317846,0.458497055500565,0.2186587136115969,6.1294
0,0,5,136.4510615,6.2409,6.5657897,0.0057,0.0728,20.35395,60.0,0.6607675,False,False,False,89.73063345,0.001174291,0.19735506782115925,0.0,18.8062,21.9017,0.076,6.1649,60,500,18.8062,21.9017,0.08096728783510128,0.4301306277932752,0.19735506782115925,6.2409
1,0,5,136.8365765,6.2273,6.5487113,0.0056,0.0598,20.50215,60.4,0.6582975,False,False,False,89.92659902,0.00117354,0.19967142218542894,0.0,19.0003,22.004,0.0629,6.1644,60,500,19.0003,22.004,0.08119177137947217,0.4296613325734626,0.19967142218542894,6.2273
8,0,5,136.0302662,6.2205,6.535470009,0.0052,0.0545,20.76835,62.6,0.653860833,False,False,False,89.22110936,0.001181787,0.21388603989321375,0.0,19.648,21.8887,0.0573,6.1632,55,500,19.648,21.8887,0.08038361503142691,0.43481483147864863,0.21388603989321375,6.2204999999999995
3,0,5,135.365488,6.2268,6.547030449,0.0054,0.0575,20.35755,62.1,0.6607075,False,False,False,90.73680049,0.001186389,0.21308842439813105,0.0,18.9485,21.7666,0.0606,6.1662,65,500,18.9485,21.7666,0.08211987776897775,0.43769059259925813,0.21308842439813105,6.2268
2,0,5,135.5857949,6.2356,6.557292223,0.0056,0.0599,20.5735,61.3,0.657108333,False,False,False,90.60874806,0.00118279,0.20745447581707582,0.0,19.379,21.768,0.0631,6.1725,65,500,19.379,21.768,0.0819731904536922,0.4354415999280123,0.20745447581707582,6.235600000000001
5,0,5,136.4535303,6.2375,6.560135603,0.0054,0.056,20.5726,60.7,0.657123333,False,False,False,92.18435396,0.00117491,0.2034031628173858,0.0,19.2437,21.9015,0.0591,6.1784,75,500,19.2437,21.9015,0.08377808708407314,0.43051743703570394,0.2034031628173858,6.2375
10,0,5,135.9979476,6.2251,6.536399364,0.0049,0.055,20.8889,63.8,0.651851667,False,False,False,89.95837979,0.001181194,0.22133722705082806,0.0,19.913,21.8648,0.0577,6.1674,60,500,19.913,21.8648,0.08122817705977835,0.43444426947418946,0.22133722705082806,6.225099999999999
7,0,5,136.9786946,6.2366,6.54878521,0.0054,0.0545,20.85015,62.2,0.6524975,False,False,False,92.99937578,0.001170575,0.2116575339874035,0.0,19.7157,21.9846,0.0575,6.1791,80,500,19.7157,21.9846,0.08471171530709828,0.4278085225511664,0.2116575339874035,6.2366
9,0,5,136.6286231,6.2266,6.550391674,0.0053,0.0553,20.99795,62.9,0.650034167,False,False,False,91.5427213,0.001175459,0.21579339705995043,0.0,20.0352,21.9607,0.0581,6.1685,70,500,20.0352,21.9607,0.08304308055358454,0.4308605037143686,0.21579339705995043,6.2265999999999995
6,0,5,136.2615912,6.2318,6.553213596,0.0052,0.0557,21.04925,62.9,0.649179167,False,False,False,91.46633533,0.001177641,0.21625970105956754,0.0,20.2173,21.8812,0.0587,6.1731,70,500,20.2173,21.8812,0.08295557848224719,0.43222402191627435,0.21625970105956754,6.2318
4,0,5,136.2710938,6.2483,6.572737932,0.0055,0.0573,20.69055,62.8,0.6551575,False,False,False,93.62545114,0.00117445,0.2164533129868697,0.0,19.5497,21.8314,0.0605,6.1878,85,500,19.5497,21.8314,0.08542890055477254,0.4302299859023967,0.2164533129868697,6.2483
0,0,6,139.2039846,6.3755,6.692165136,0.006,0.0858,20.2539,61.3,0.662435,False,False,False,107.2856863,0.001126767,0.20734847314686555,0.0,18.6281,21.8797,0.0892,6.2863,84,600,18.6281,21.8797,0.10107704734737803,0.4004331763600189,0.20734847314686555,6.3755
1,0,6,138.7238279,6.3522,6.678307772,0.0057,0.065,20.5474,60.2,0.657543333,False,False,False,105.7901033,0.001134814,0.20241677108505352,0.0,19.2278,21.867,0.0681,6.2841,72,600,19.2278,21.867,0.09936381898414644,0.40546169651159314,0.20241677108505352,6.3522
10,0,6,138.4054729,6.3317,6.64652133,0.0056,0.0552,20.77885,63.5,0.653685833,False,False,False,105.1850048,0.001141107,0.2203706967410327,0.0,19.6783,21.8794,0.0583,6.2734,66,600,19.6783,21.8794,0.09867066326310062,0.409394152993991,0.2203706967410327,6.3317
