prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric.1,reward,early_exit_layer,avg_entropy
10,7,1,120.21575011,4.3256000000000006,4.839874982833862,0.0033,0.049,25.37535,90.7679,0.5770775,False,False,False,25.661174019517745,0.0019230575087913,0.9672735617679068,0.0,22.9003,27.8504,0.0513,4.2743,11,100,22.9003,27.8504,0.9672735617679068,True,109.66024753000002,432.19771724,0.01965866920783,0.8879716509964172,0.9672735617679068,0.9672735617679068,12,3.9807
10,6,32,152.83648383,4.2893,4.816244125366211,0.0138,0.1157,30.9798,91.1033,0.48367,False,False,False,902.7111876737024,0.0015254098243596,0.8661357505569177,0.0,26.0511,35.9085,0.1203,4.169,672,3200,26.0511,35.9085,0.8661357505569177,True,109.66024753000002,432.19771724,0.9800177143554516,0.6924054701003357,0.8661357505569177,0.8661357505569177,4,8.7255
10,6,26,145.54384407,4.2165,4.735519170761108,0.0112,0.0766,32.14605,90.9808,0.4642324999999999,False,False,False,727.6175198345737,0.0016294988316334,0.8887459600515139,0.0,29.6805,34.6116,0.0803,4.1362,468,2600,29.6805,34.6116,0.8887459600515139,True,109.66024753000002,432.19771724,0.7882922881659229,0.7435972421708986,0.8887459600515139,0.8887459600515139,4,8.4699
10,6,16,134.81097908,4.228400000000001,4.744125843048096,0.0083,0.058,30.0697,91.0803,0.4988383333333334,False,False,False,450.2884187190381,0.0017542790310123,0.922022295354975,0.0,28.2031,31.9363,0.0612,4.1672,304,1600,28.2031,31.9363,0.922022295354975,True,109.66024753000002,432.19771724,0.4846203121182965,0.8049651012063352,0.922022295354975,0.922022295354975,10,6.0491
10,6,8,123.87373960000002,4.2118,4.728187322616577,0.0059,0.0534,27.533,91.44455,0.5411166666666667,False,False,False,218.433871875713,0.0019166950016021,0.9559322763870516,0.0,25.6032,29.4628,0.0564,4.1554,120,800,25.6032,29.4628,0.9559322763870516,True,109.66024753000002,432.19771724,0.2307424171828943,0.8848425211645743,0.9559322763870516,0.9559322763870516,6,8.0236
10,6,5,121.23707154,4.2263,4.743236541748047,0.0052,0.0511,26.57145,91.01665,0.5571425,False,False,False,137.23584761236836,0.001951660353428,0.9641070415154898,0.0,24.4011,28.7418,0.054,4.1723,80,500,24.4011,28.7418,0.9641070415154898,True,109.66024753000002,432.19771724,0.1418315730629308,0.902038749353492,0.9641070415154898,0.9641070415154898,4,8.7069
10,6,4,119.17043778999998,4.246099999999999,4.759989261627197,0.0044,0.052,25.67,90.95995,0.5721666666666666,False,False,False,104.56651878982626,0.001976247103071,0.9705144637348622,0.0,23.2109,28.1291,0.0546,4.1915,44,400,23.2109,28.1291,0.9705144637348622,True,109.66024753000002,432.19771724,0.1060590573053507,0.91413070139188,0.9705144637348622,0.9705144637348622,6,8.1574
10,6,3,118.60157118,4.2222,4.742844820022583,0.0041,0.0521,25.43815,90.9375,0.5760308333333334,False,False,False,80.28987724648826,0.0019969663890429,0.9722781862893656,0.0,22.7159,28.1604,0.0546,4.1676,39,300,22.7159,28.1604,0.9722781862893656,True,109.66024753000002,432.19771724,0.0794764315383054,0.9243206051359824,0.9722781862893656,0.9722781862893656,4,8.7136
10,6,2,117.86145183,4.2751,4.796066761016846,0.0037,0.0526,25.1454,91.09545,0.58091,False,False,False,53.79989852871312,0.0019846408890926,0.9745728634028974,0.0,22.6575,27.6333,0.055,4.2201,30,200,22.6575,27.6333,0.9745728634028974,True,109.66024753000002,432.19771724,0.0504702286179162,0.9182588297320392,0.9745728634028974,0.9745728634028974,14,3.1019
10,6,1,115.19319084,4.191199999999999,4.712316513061523,0.0033,0.0485,25.03065,91.1075,0.5828225,False,False,False,26.72265061971497,0.0020712608923536,0.9828455797245051,0.0,22.5158,27.5455,0.0508,4.1404,12,100,22.5158,27.5455,0.9828455797245051,True,109.66024753000002,432.19771724,0.0208209731110757,0.9608592116534774,0.9828455797245051,0.9828455797245051,4,9.0
10,5,32,148.09228255,4.321899999999999,4.84780216217041,0.0128,0.0807,29.0951,91.23645,0.5150816666666667,False,False,False,851.4771624801217,0.0015624022596475,0.8808447432338481,0.0,23.7145,34.4757,0.0844,4.2375,480,3200,23.7145,34.4757,0.8808447432338481,True,109.66024753000002,432.19771724,0.9239170829798538,0.7105986334822288,0.8808447432338481,0.8808447432338481,10,5.9032
10,5,26,142.72793560000002,4.2889,4.821753263473511,0.0113,0.0766,30.94775,91.61745,0.4842041666666666,False,False,False,715.3347675779879,0.0016335976300582,0.8974764448306367,0.0,28.5265,33.369,0.0802,4.2087,468,2600,28.5265,33.369,0.8974764448306367,True,109.66024753000002,432.19771724,0.77484282457174,0.7456130626712609,0.8974764448306367,0.8974764448306367,4,8.5591
10,5,16,132.36495641,4.2863,4.814155578613281,0.0082,0.0582,29.3022,91.41685,0.51163,False,False,False,440.4730325751738,0.0017625620460157,0.9296059806619856,0.0,27.6769,30.9275,0.0614,4.2249,288,1600,27.6769,30.9275,0.9296059806619856,True,109.66024753000002,432.19771724,0.4738725842599928,0.8090387515101845,0.9296059806619856,0.9296059806619856,8,6.6307
10,5,8,122.17266182,4.2794,4.801295518875122,0.0058,0.0536,26.7319,91.7062,0.5544683333333335,False,False,False,211.2445176322574,0.0019126833649171,0.961206323404068,0.0,24.8655,28.5983,0.0565,4.2229,104,800,24.8655,28.5983,0.961206323404068,True,109.66024753000002,432.19771724,0.2228701621586838,0.8828695674763186,0.961206323404068,0.961206323404068,8,6.3552
10,5,5,119.0889268,4.2807,4.810267210006714,0.0048,0.0524,25.581650000000003,91.30445,0.5736391666666666,False,False,False,134.32379416361948,0.0019616152310412,0.9707671816286104,0.0,23.2843,27.879,0.055,4.2257,75,500,23.2843,27.879,0.9707671816286104,True,109.66024753000002,432.19771724,0.138642910129323,0.9069346345109244,0.9707671816286104,0.9707671816286104,4,8.1727
10,5,4,118.49516715,4.266,4.789018392562866,0.0047,0.0546,25.58365,91.7364,0.5736058333333334,False,False,False,110.64226192164512,0.0019782378639648,0.9726080829370192,0.0,23.3299,27.8374,0.0575,4.2085,72,400,23.3299,27.8374,0.9726080829370192,True,109.66024753000002,432.19771724,0.1127119217735068,0.9151097728672452,0.9726080829370192,0.9726080829370192,14,3.5167
10,5,3,116.4820325,4.258,4.781136751174927,0.0044,0.0527,25.06,91.45135,0.5823333333333333,False,False,False,78.20571202308312,0.0020162083172721,0.9788496357457828,0.0,22.7025,27.4175,0.0555,4.2025,33,300,22.7025,27.4175,0.9788496357457828,True,109.66024753000002,432.19771724,0.0771942960925286,0.9337839330118556,0.9788496357457828,0.9788496357457828,10,6.0152
10,5,2,123.68911533,4.3073,4.821134328842163,0.0037,0.051,25.87885,91.63775,0.5686858333333333,False,False,False,52.00472407198847,0.0018769962061324,0.9565046882378856,0.0,22.9694,28.7883,0.0534,4.2539,24,200,22.9694,28.7883,0.9565046882378856,True,109.66024753000002,432.19771724,0.0485045345294452,0.8653183490892921,0.9565046882378856,0.9565046882378856,14,3.0399
10,5,1,114.80131688,4.2174000000000005,4.741015672683716,0.0032,0.048,24.9112,91.39765,0.5848133333333333,False,False,False,26.31952712108713,0.0020654197976436,0.9840605516170804,0.0,22.5452,27.2772,0.0502,4.1672,11,100,22.5452,27.2772,0.9840605516170804,True,109.66024753000002,432.19771724,0.0203795578072827,0.9579865164777908,0.9840605516170804,0.9840605516170804,12,4.4996
